Model,Train Time (s),Val Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1-Score
Random Forest,8.62,1.0000,1.0000,1.0000,1.0000,1.0000
XGBoost,1.76,1.0000,1.0000,1.0000,1.0000,1.0000
Gradient Boosting,366.26,0.9999,0.9999,0.9999,0.9999,0.9999
Extra Trees,5.61,1.0000,1.0000,1.0000,1.0000,1.0000
